Places_name	Places_type	Places_city	Places_reference	Budget	timing
Old Lockhart House	Historical	Abbottabad	https://maps.app.goo.gl/LDowRV9qFSdz8EPg8	Low	Afternoon
Governor House	Historical	Abbottabad	https://maps.app.goo.gl/YE9w9p6RnUMzKgtN7	Low	All-day
Miranjani (hiking peak)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/Dh1imSy96r5iFmPe7	Low	Morning
Abbottabad Chairlift	Adventure/Natural	Nawan Shehr near Abbottabad	https://maps.app.goo.gl/oQYxAqmKbJWZ5RUWA	Moderate	Afternoon
Ayubia National Park (chairlift, trails)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/PgRo9e59o1Zvbw4e7	High	All-day
Nathiagali (hills, forests)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/BdeHcyxSNKU1rdLR8	Moderate	All-day
Donga Gali (trails)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/5vos9xD1xbwvPAsc8	Low	All-day
Thandiani (hills, forests)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/D7hf1sQtdqcxKhdW9	Low	All-day
Shimla Hill (views, church, gurdwara)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/rKpKvgujkb58mcTf8	Low	Morning
Harnoi Lake (picnics, boating)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/34LPWXPjXMUcnTya6	Moderate	Evening
Ayubia Trail (jungle hike)	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/bEuQxKNyq9gXSL687	Low	Afternoon
Ilyasi Masjid (mosque)	Religious	Abbottabad	https://maps.app.goo.gl/qhYMLKpATwuwdyvU9	Low	All-day
St. Luke's Church	Religious	Abbottabad	https://maps.app.goo.gl/RuLSqdAQjykJkGgNA	Low	Morning
Pipeline Track Starting Point	Adventure/Natural	Abbottabad	https://maps.app.goo.gl/LAY31CYErn3WrzNH8	Low	Morning
Usmania Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/Ud2dPQVy8nEKMCBY7	Moderate	FullDay 
MNAK Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/Y87t3wjXv3GPWPPC6	Moderate	MainMeals 
Food Planet	Restaurant	Abbottabad	https://maps.app.goo.gl/rUKLV62bGCeGX9856	Moderate	MainMeals
OD2D CafÃƒÆ’Ã‚Â©	Restaurant	Abbottabad	https://maps.app.goo.gl/jU5PHcxGSWkyCEhd8	Moderate	Brunch 
Aroma Cafe & Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/xdC47LfvgJFfVgU57	Moderate	FullDay
Quetta karwan cafÃƒÂ© & Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/Cb6eXywfqDWEUZ3k8	Low	FullDay 
Coffity	Restaurant	Abbottabad	https://maps.app.goo.gl/nBZmaJEtMry1Xwdk8	Moderate	Brunch
Saif Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/z5pKC9ph8ArBGzD8A	Moderate	MainMeals
deMinister Cafe, Abbottabad	Restaurant	Abbottabad	https://maps.app.goo.gl/yjmtZFL8Bpf1wi55A	Moderate	MainMeals
Urban cafe & restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/W8BQCCAtJaRUQYZe7	Moderate	FullDay
MNAK CAFE & GRILL	Restaurant	Abbottabad	https://maps.app.goo.gl/hV3y8R5EdfHUfRF26	Moderate	MainMeals
Soul Strings	Restaurant	Abbottabad	https://maps.app.goo.gl/nZLfxjMwdQ4qtoZT9	Moderate	Brunch
Afghan Chopan - Restaurant & Platter House	Restaurant	Abbottabad	https://maps.app.goo.gl/VspMbEwbYtbK5d72A	High	MainMeals
Quetta Pakistan cafe Abbottabad	Restaurant	Abbottabad	https://maps.app.goo.gl/pUx54Ca7EnWyJt1u5	Low	FullDay 
Milano Munch CaffÃƒÂ¨ and Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/KA1U4ZspKsPjDFpu7	Moderate	Brunch
Skylark Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/6hUJCTGChM7ZjNbz5	Low	MainMeals
Flame On Abbottabad	Restaurant	Abbottabad	https://maps.app.goo.gl/8L3d9hUqWr4iJaMD6	Moderate	Dinner
360 Bistro	Restaurant	Abbottabad	https://maps.app.goo.gl/hwr6sfiQzNWEuvwr5	Moderate	FullDay
Baithak Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/kjnzjoE3JZgnWDmT8	High	MainMeals
Qissa Khwani Abbottabad	Restaurant	Abbottabad	https://maps.app.goo.gl/7yAMZPwDVpQtD5ZM7	High	MainMeals
Cafe Beany Bonito	Restaurant	Abbottabad	https://maps.app.goo.gl/7Ai6tykRN1sSQut37	Moderate	Brunch
Sapna Shinwari Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/9VmXcfdW2cNtfhJA8	Moderate	MainMeals
Oley	Restaurant	Abbottabad	https://maps.app.goo.gl/2DYDXa1p8rNMdG2a8	Moderate	MainMeals
Abbott Cafe Zone	Restaurant	Abbottabad	https://maps.app.goo.gl/yWD5pjyvsqBdsm2g6	Low	Brunch
Taste Planet Abbottabad	Restaurant	Abbottabad	https://maps.app.goo.gl/wcHcEh4w5stuWbq29	Moderate	MainMeals
MS CAFE AND RESTAURANT ATD	Restaurant	Abbottabad	https://maps.app.goo.gl/yF2j7UjxxwJPF9hp8	Moderate	MainMeals
Food Mood	Restaurant	Abbottabad	https://maps.app.goo.gl/6yZnosiJZ52Zoitb9	Low	MainMeals
Hot and Spicy	Restaurant	Abbottabad	https://maps.app.goo.gl/5Nzur7oHSSq7CRmo9	Low	MainMeals
Quetta Asad Restaurant Fawarah Chowk	Restaurant	Abbottabad	https://maps.app.goo.gl/YuZWZB1VxVtVqgCdA	Low	FullDay 
Janu Butt Khoye Walay Mutton Channay	Restaurant	Abbottabad	https://maps.app.goo.gl/nwgLHTY8SuVTwQB28	Low	Brunch 
Bismillah Hotel & Restaurant	Restaurant	Abbottabad	https://maps.app.goo.gl/Vgh7tQFerK3H8eNu7	Low	FullDay
AK HOTEL Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/ygVzUTADAWChLqSY6	Low	All-day
Hills View Hotel Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/U8tRVmw25R7PUwqP6	Moderate	All-day
Triple One Hotel Suites	Hotel	Abbottabad	https://maps.app.goo.gl/YuASkqfnKhpHwDUV9	Moderate	All-day
Stargaze Hotel & Apartments	Hotel	Abbottabad	https://maps.app.goo.gl/oYBySMuXtqqLBhEA6	Low	All-day
The Point by Roomy, Thandiani	Hotel	Abbottabad	https://maps.app.goo.gl/jYT6Wb8L9Qb8HZ269	High	All-day
Marwa Hotel Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/uqaWruV3iiWJGmyu5	Low	All-day
Kaghan Lodge kaghan colony Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/98Yte8Pyo1STTE5z5	Moderate	All-day
Hotel City Center	Hotel	Abbottabad	https://maps.app.goo.gl/vsLGScKrXXnTBpmL6	Moderate	All-day
Usmania guest house	Hotel	Abbottabad	https://maps.app.goo.gl/SpiHGmJ2GmhPhWku6	Low	All-day
Republika Urban Hotel by Summit Resorts	Hotel	Abbottabad	https://maps.app.goo.gl/XuYbNSTXPWtU2MH5A	Moderate	All-day
Lalazar Hotel & Restaurant	Hotel	Abbottabad	https://maps.app.goo.gl/hPhVXoDocZc9rNabA	Low	All-day
Alaf Laila Guest House Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/ak4MbLUgTW18QZtFA	Low	All-day
Hotel Comfort Hill	Hotel	Abbottabad	https://maps.app.goo.gl/SBe6uV9pdq7vMxf37	Moderate	All-day
Tulip Guest House	Hotel	Abbottabad	https://maps.app.goo.gl/Ue2Y4BbeJayxkQmW6	Moderate	All-day
Deen Resort Motel	Hotel	Abbottabad	https://maps.app.goo.gl/qSdB4TYRnJSfXf1m9	Low	All-day
Hotel Abbott Garden	Hotel	Abbottabad	https://maps.app.goo.gl/XNqFzxVrw2egYFhR8	High	All-day
Hotel Hamala Inn	Hotel	Abbottabad	https://maps.app.goo.gl/ZMKJFaQinvkeHxE17	Low	All-day
Siran Valley Hotel (Guest house)	Hotel	Abbottabad	https://maps.app.goo.gl/khokxCFrdHHafk2fA	Low	All-day
Jeddah Tourist hotel	Hotel	Abbottabad	https://maps.app.goo.gl/1s4haf2HgCMtstHz5	Low	All-day
Hotel Taj Mahal	Hotel	Abbottabad	https://maps.app.goo.gl/ewiT3LCiPFbwoQnS6	High	All-day
Hotel Moonlight Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/wCGQS6hfezumFE5r7	High	All-day
Hotel Sarban	Hotel	Abbottabad	https://maps.app.goo.gl/UvgqAeW619yCFCo6A	Moderate	All-day
Pak Palace Guest House Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/8oDDZCYDLGA3MLtKA	Moderate	All-day
Hotel Da Ville	Hotel	Abbottabad	https://maps.app.goo.gl/3oT3NF6nvfjH7mmu9	Moderate	All-day
Hamala Inn Hotel	Hotel	Abbottabad	https://maps.app.goo.gl/73qsgrNm7A5D9dHJA	Low	All-day
Destination Resort Thandiani	Hotel	Abbottabad	https://maps.app.goo.gl/FFJcV639TUzDgbBK7	High	All-day
Silk Way Guest House	Hotel	Abbottabad	https://maps.app.goo.gl/cP6HTgSWaeMqBte56	Moderate	All-day
Horizon Resort Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/Gi3MjTXSC2MQBLMp8	High	All-day
Falcon Hotel	Hotel	Abbottabad	https://maps.app.goo.gl/EVyaTfyWZf5AZ8Um9	Low	All-day
Abbotabad View Hotel	Hotel	Abbottabad	https://maps.app.goo.gl/LHDPL6RQdcdLxpa37	High	All-day
Ahmed Ali hotel	Hotel	Abbottabad	https://maps.app.goo.gl/jhMEUgtLiGYFTdwd9	Low	All-day
Red Onion Hotel & Restaurant	Hotel	Abbottabad	https://maps.app.goo.gl/zYQ85RbA4ehgXVBZ7	Moderate	All-day
Urban lodge	Hotel	Abbottabad	https://maps.app.goo.gl/JqpPP4NLQkAMtTc8A	Moderate	All-day
Libra Guest House	Hotel	Abbottabad	https://maps.app.goo.gl/Z1CTyd8sCot9hV6S9	High	All-day
Hotel One Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/KvVBXoacALv2cRq19	High	All-day
CBA Rest House, Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/2YbimyRNn7eFmcLm6	Low	All-day
Royal Emirates Residence Hotel Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/T86dvGKSeWf7DMSRA	High	All-day
Abbott Crown Hotel & Restaurant Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/sv75C6AXSSLqU5kMA	Moderate	All-day
Magpie Lodge	Hotel	Abbottabad	https://maps.app.goo.gl/TJ7STMoQT8HHEMW18	High	All-day
Sharjah international hotel Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/f4nP2EXM4ZaG7ab69	Moderate	All-day
Bolan Hotel abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/nirNKAmj4xVUXEeZ9	Low	All-day
Springwood Hotel and Restaurant by PlanAVoyage	Hotel	Abbottabad	https://maps.app.goo.gl/LTds8sejgWZ8hGuu6	Moderate	All-day
Hotel sky Touch abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/exDyaxcMiDLEXr776	High	All-day
Punjab Hut Abbottabad	Hotel	Abbottabad	https://maps.app.goo.gl/npHREbgpD92rsemm8	Moderate	All-day
New White Palace Hotel	Hotel	Abbottabad	https://maps.app.goo.gl/8fxgKxP1VvNRdGNz9	Low	All-day
A.W.K Hotels	Hotel	Abbottabad	https://maps.app.goo.gl/NQBQuxtAN86zLUxX9	Low	All-day
Zain Hotel	Hotel	Abbottabad	https://maps.app.goo.gl/euDsxi8VjfoxUAzE7	Low	All-day
SMART HOTEL	Hotel	Abbottabad	https://maps.app.goo.gl/YZ6K57pt66rfukXa9	Low	All-day
New Grand Hotel	Hotel	Abbottabad	https://maps.app.goo.gl/JE46vfomd44RxHSn7	Low	All-day
Abbott Valley Guest house	Hotel	Abbottabad	https://maps.app.goo.gl/3tWq2cT5CCtvuKCt8	Low	All-day
Ptcl Shimla Guest House	Hotel	Abbottabad	https://maps.app.goo.gl/UaoQp62UwqELJ1DV8	Moderate	All-day
Hotel Al-Zahra	Hotel	Abbottabad	https://maps.app.goo.gl/XgPBnfHFMtEMN8Cd8	Low	All-day
Lalazar lodges Nathiagali	Hotel	Abbottabad	https://maps.app.goo.gl/2NoTz3Bv6C9N98uZ9	High	All-day
ROYAL PLASE HOTEL	Hotel	Abbottabad	https://maps.app.goo.gl/ojLcCxS1w6JaKT3n6	Low	All-day
Dar-ul-Uloom Haqqania	Religious	Akora Khattak	https://maps.app.goo.gl/TjwhLRvgoQmP3vJy6	Low	Afternoon
Shrine of Akhund Adyan Baba Seljoki	Religious	Akora Khattak	https://maps.app.goo.gl/QiQk8Ur5dh6hHfW9A	Low	All-day
Khushal Khan Khattak Memorial Library	Cultural	Akora Khattak	https://maps.app.goo.gl/ndBKb3NqREVuD4Ye8	Low	Morning
Haqqania Masjid	Religious	Akora Khattak	https://maps.app.goo.gl/erkGzx2A2yZPM8GD9	Low	Afternoon
Spark Hotel	Hotel	Nowshera near Akora Khattak	https://maps.app.goo.gl/1CHjhuzg48jtgZCs8	High	All-day
Shobra Hotel	Hotel	Nowshera near Akora Khattak	https://maps.app.goo.gl/8TfZd4sJw97pp7h89	High	All-day
Chill Out Franchise Fast Food	Restaurant	Akora Khattak	https://maps.app.goo.gl/91CUwqJMAWzYCHdv9	Low	MainMeals
Food Lab	Restaurant	Akora Khattak	https://maps.app.goo.gl/AH8HxqAZyJ2AHNnL9	Low	MainMeals
Teekala Cafe and Restaurant	Restaurant	Akora Khattak	https://maps.app.goo.gl/TrNt2XQk7r8zfANeA	Low	FullDay
Afghan Sheer Yakh	Restaurant	Akora Khattak	https://maps.app.goo.gl/yk93ipDzjSjsotQa9	Low	Meals
Quetta Shahi Cafe	Restaurant	Akora Khattak	https://maps.app.goo.gl/eCqpdRPk5fNrCgjy5	Low	FullDay
B.K Pizza	Restaurant	Akora Khattak	https://maps.app.goo.gl/kBkwUeVNqHRG2HiP9	Low	MainMeals
Food Lab Restaurant Akora khattak	Restaurant	Akora Khattak	https://maps.app.goo.gl/4C7pak46kmZcQLS69	Low	MainMeals
Food Frenzy	Restaurant	Akora Khattak	https://maps.app.goo.gl/BrDYuQp93y3ugycXA	Low	MainMeals
Broast Al Farooj Akora Khattak	Restaurant	Akora Khattak	https://maps.app.goo.gl/1rmDwntHDyDYHcNq9	Moderate	MainMeals
Karachi Tikka Corner	Restaurant	Akora Khattak	https://maps.app.goo.gl/m8VQxESyoTbPK6Lm6	Low	Dinner
Tomb of Khushal Khan Khattak	Historical	Nowshera	https://maps.app.goo.gl/gcmhcYFCt9mgpEpi6	Low	All-day
Manglot National Park (wildlife)	Adventure/Natural	Nowshera	https://maps.app.goo.gl/5QyKnTrj8oRqzZXw7	Low	Evening
Kund Park	Adventure/Natural	Nowshera	https://maps.app.goo.gl/LCwmGCckKatjydSHA	Low	Afternoon
Azakhel Park	Adventure/Natural	Nowshera	https://maps.app.goo.gl/v5dPsihm7drwEoar8	Low	Evening
Disney Water Park	Adventure/Natural	Nowshera	https://maps.app.goo.gl/Z6xWeYFJi8bHDM1x5	Moderate	Afternoon
Ziarat Kaka Sahib (shrine)	Religious	Nowshera	https://maps.app.goo.gl/DiUMo5KYtJzMLC429	Low	Evening
Cherat (hill station, British cantonment)	Cultural	Nowshera	https://maps.app.goo.gl/mWSDYxMrM3j374nA8	Moderate	Morning
Gents & Ladies Clothes	Shopping	Nowshera	https://maps.app.goo.gl/3HuitjV3oNWMNFDL6	Moderate	Afternoon
Jinnah Park nowshera cant	Park	Nowshera	https://maps.app.goo.gl/M6Lua5FJcjm8XUDj7	Low	Evening
Iqbal park nowshera cantt	Park	Nowshera	https://maps.app.goo.gl/RgtWCsXWDzBQwwg69	Low	Afternoon
Hill park	Park	Nowshera	https://maps.app.goo.gl/r4F2thzgwbpqLwJR9	Low	All-day
Children Park	Park	Nowshera	https://maps.app.goo.gl/MYi8LUhUxJTvYtjZ9	Low	All-day
Siran Valley	Adventure/Natural	Nowshera	https://maps.app.goo.gl/PqggCQX57sw1yo5B8	Moderate	All-day
Spark Hotel	Hotel	Nowshera	https://maps.app.goo.gl/1CHjhuzg48jtgZCs8	Moderate	All-day
Shobra Hotel	Hotel	Nowshera	https://maps.app.goo.gl/8TfZd4sJw97pp7h89	High	All-day
Sartaj Fish Center	Restaurant	Nowshera	https://maps.app.goo.gl/eqKMnudeRB4xdXfW8	Moderate	Main Meals
Korba Restaurant	Restaurant	Nowshera	https://maps.app.goo.gl/oLYeStcUZR3yHHUG6	Moderate	Full Day
Cannoneers Coffee	Restaurant	Nowshera	https://maps.app.goo.gl/BSDrrvEEXDEEKj4b8	High	Brunch
Cafe De Foodies	Restaurant	Nowshera	https://maps.app.goo.gl/oUdReWwbENrChuSu6	Low	Brunch
Taj Mahal Inn	Restaurant	Nowshera	https://maps.app.goo.gl/mUJcNM593vextdci6	Moderate	Main Meals
Hill Top Restaurant and Fun Land	Restaurant	Nowshera	https://maps.app.goo.gl/pS8rhWBjhxsAR9Rj8	Moderate	Meals
Madina Restaurant	Restaurant	Nowshera	https://maps.app.goo.gl/CFPp1Zu1WXFbsbRx8	Low	Full Day
Chapli Kabab Rashakai	Restaurant	Nowshera	https://maps.app.goo.gl/Vy3q2UdmsegjfdCs7	Low	Main Meals
Ali Abad Khattak restaurant	Restaurant	Nowshera	https://maps.app.goo.gl/wJxPnVALtFsmSRBU6	Low	Main Meals
Bahrain (valley, river views, starting point for hikes to Kalam)	Adventure/Natural	Bannu	https://maps.app.goo.gl/DDQb37rdwubWoM2S8	Moderate	All-day
Bannu Museum (archaeological artifacts)	Historical	Bannu	https://maps.app.goo.gl/vUfpQ6bRFTxfXuRM7	Low	Morning
Akra (ancient ruins)	Historical	Bannu	https://maps.app.goo.gl/RQkZxhLKnNgvHTWK9	Low	Afternoon
Baran Dam (picnic spot with historical backdrop)	Historical	Bannu	https://maps.app.goo.gl/2V8wS79z2KPhJnZN9	Low	All-day
Mandan Park (gardens, boating)	Adventure/Natural	Bannu	https://maps.app.goo.gl/SAvFBDh6bx8PaXUq5	Low	All-day
Barikot (ancient Gandhara ruins)	Historical	Barikot	https://maps.app.goo.gl/XN5owNVqopHCpHS56	Low	Morning
Batkhela (gateway to Swat Valley, river views)	Adventure/Natural	Batkhela	https://maps.app.goo.gl/Wk9wj4pj7W54Y4V18	Low	All-day
Castle Rock Malakand	Adventure/Natural	Batkhela	https://maps.app.goo.gl/v3EfSKxLCc4xnD6h7	Low	Morning
Amir CafÃƒÆ’Ã‚Â©	Restaurant	Bannu	https://maps.app.goo.gl/Ttyy4cfth3E32udE6	Low	MainMeals 
New Kohati Hotel	Restaurant	Bannu	https://maps.app.goo.gl/NWP7eDbHcfB6p8g39	Low	Meals
Imran Restaurant	Restaurant	Bannu	https://maps.app.goo.gl/rJmJ82rvuL7Zmpvy6	Low	FullDay 
Aamir Cafe Bakers & Sweets	Restaurant	Bannu	https://maps.app.goo.gl/Q7vc7fx51i4ezEbh9	Low	Brunch 
Ajwa Ice Cream and Juice	Restaurant	Bannu	https://maps.app.goo.gl/XZKERMzErpxGWZAKA	Low	MainMeals 
Khorak Mahal	Restaurant	Batkhela	https://maps.app.goo.gl/bb13YstHKVz5WxibA	Moderate	MainMeals 
Meeral Restaurant	Restaurant	Batkhela	https://maps.app.goo.gl/nZ33vLv6ZrJHQDrV7	Moderate	MainMeals 
Hameed 2 Bakers & Restaurant	Restaurant	Batkhela	https://maps.app.goo.gl/BEDGLCdDPU5LWZ2X9	Moderate	Brunch 
Shelton Guest House Bannu	Hotel	Bannu	https://maps.app.goo.gl/sxZxRpdb7Sw9rfBFA	Moderate	All-day
Kurram Inn Hotel	Hotel	Bannu	https://maps.app.goo.gl/CZtKRZ8oQz92UVi3A	Low	All-day
Usman Hotel	Hotel	Bannu	https://maps.app.goo.gl/Fk52DqoPzTyJbiSh9	Low	All-day
grand land islamabad	Hotel	Banu	https://maps.app.goo.gl/Pv5Gsn9hwiVGoDJm7	High	All-day
Adil Hotel	Hotel	Banu	https://maps.app.goo.gl/k2m69qaz5RMvFr4r9	Low	All-day
Jan's Hotel	Hotel	Banu	https://maps.app.goo.gl/gMjzLeCh2JoRun6a8	Low	All-day
Amir Hotel	Hotel	Banu	https://maps.app.goo.gl/buHbU6fk7cTBZ2Pv8	Low	All-day
Abshar Hotel	Hotel	Barikot	https://maps.app.goo.gl/n8hMGjbifNUxjKXQ9	High	All-day
Bin Ahmad Guest House	Hotel	Batkhela	https://maps.app.goo.gl/JM9JJ7bgUm8onVXz5	Moderate	All-day
Baghicha shopping mall and family Park	Park/Shopping	Charsadda	https://maps.app.goo.gl/kBvexFxq4WGtWGkt8	Low	Night
Sardaryab (fishing, picnics)	Adventure/Natural	Charsadda	https://maps.app.goo.gl/KVheSbtEggVfYb9w5	Low	Morning
Shabqadar Fort, FC (Frontier Constabulary)	Fortress	Charsadda	https://maps.app.goo.gl/CdNP1TVAJgPYo2or5	Low	Night
Pushkalavati Museum charsadda	Museum	Charsadda	https://maps.app.goo.gl/TZP9zV28o5Eefbqj8	Low	Afternoon
Al Ibadat hotel	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/23MdnUiYscuDnt8w8	Low	All-day
PEARL CITY Hotel	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/rNwbHARrqJNeo1Rz8	High	All-day
Hotel Spogmay & Kehkashan Restaurant	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/ju8X77DQx3UC12Su6	Moderate	All-day
Peshawar Serena Hotel	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/1Dzd6B3AQjsxoc5Z8	High	All-day
Peshawar Barracks	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/vQtqDXt4FXawRkrRA	Moderate	All-day
Fort Continental Hotel	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/7FC8dEs2yuGyeNhL7	Moderate/High	All-day
Shelton's Accommodator Peshawar	Hotel	Peshawar near Charsadda	https://maps.app.goo.gl/5tjKBN5ZRcedERRs9	Moderate	All-day
Golden Fish Sardaryab	Restaurant	Charsadda	https://maps.app.goo.gl/pJvk1B6MYj8Cad2g6	Moderate	FullDay
Baghicha Restaurant	Restaurant	Charsadda	https://maps.app.goo.gl/4Dp1zQV8EYraqsdw9	Moderate	FullDay
MidTown Cafe	Restaurant	Charsadda	https://maps.app.goo.gl/2twWrBYyBxGqXuxN7	Moderate	MainMeals
Kouzzina River Resort	Restaurant	Charsadda	https://maps.app.goo.gl/a4cX2GNMJ5wBhJP27	Moderate	FullDay
Sardaryab Family Park Restaurant	Restaurant	Charsadda	https://maps.app.goo.gl/ZEjP3bZKYJKqW6576	Moderate	FullDay
Two Friends Kitchen	Restaurant	Charsadda	https://maps.app.goo.gl/vZ2LcotKQgcTAhgM6	Low	MainMeals
White Palace (Marghazar)	Historical	Chitral	https://maps.app.goo.gl/6A1b5jwZqvFoasVX7	Low	All-day
Chitral Gol National Park (wildlife, trails)	Adventure/Natural	Chitral	https://maps.app.goo.gl/4MK8zD9Q8eoyTF729	Low	All-day
Golen Gol (valley hikes)	Adventure/Natural	Chitral	https://maps.app.goo.gl/36c5Jvp9SuM9oWeW8	Low	Morning
Ayun Viewpoint	Adventure/Natural	Chitral	https://maps.app.goo.gl/ZiHf9yqgT7yzdYwh9	Low	Afternoon
Birdwatching in Chitral Gol Park	Wildlife Observation	Chitral	https://maps.app.goo.gl/jq7GbtxNtUe6Rnb77	Low	All-day
Chitral Museum	Museum	Chitral	https://maps.app.goo.gl/4K2xWX5ZFqaJ4z3z9	Low	Afternoon
Shahi Masjid Chitral	Religious Site	Chitral	https://maps.app.goo.gl/bT9Bup49wEStryDX6	Low	Morning
Chitral Fort	Historical Site	Chitral	https://maps.app.goo.gl/FNHZ2ETYCqFMiL6i8	Low	Afternoon
Gram Chashma	Wellness Retreat	Chitral	https://maps.app.goo.gl/8rNhHFGGmFF2wxoJA	Low	Morning
Kalash Festival Experience	Cultural Event	Chitral	https://maps.app.goo.gl/mSPsVeS6bPGo8QBJ7	Low	All-day
Rumbur	Ravine	Chitral	https://maps.app.goo.gl/33L4sJRVPCyEwpS38	Low	All-day
Shandur Pass	Mountain pass	Chitral	https://maps.app.goo.gl/nvR4KpMVRnCwCXia7	Low	Morning
Birmoghlasht Summer Fort	Monument	Chitral	https://maps.app.goo.gl/nREhmPJJWFmjPsySA	Low	Afternoon
Chitral River Rafting	Adventure/Natural	Chitral	https://maps.app.goo.gl/xuszFDj2NzYdXDMB8	Low	All-day
Chitral Polo ground	Sports Event	Chitral	https://maps.app.goo.gl/s7ii1adNXGFf9uEV9	Low	All-day
Tirich Mir	Nature Exploration	Chitral	https://maps.app.goo.gl/oAf7KAbaKNiKpKdx8	Low	All-day
Fokker Friendship Restaurant	Restaurant	Chitral	https://maps.app.goo.gl/BX14Jp4Y2EcoNDXf6	Moderate	MainMeals
Terichmir View Restaurant	Restaurant	Chitral	https://maps.app.goo.gl/W24UMhdJgHiA551A9	Moderate	FullDay
Conflux Fast Food	Restaurant	Chitral	https://maps.app.goo.gl/rXhivs6AxBo5JrFL9	Low	MainMeals
Chamani Cafe	Restaurant	Chitral	https://maps.app.goo.gl/Jyf3gUMLUUNuaz1e7	Low	FullDay
Nan CafÃƒÆ’Ã‚Â© (Booni)	Restaurant	Chitral	https://maps.app.goo.gl/ZDAyFnkJFTo3396d6	Low	FullDay
Dream Hotel & Restaurant	Restaurant	Chitral	https://maps.app.goo.gl/XjK62i1GELRnVUHj7	Moderate	FullDay
Tirch Mir View Hotel Chitral	Hotel	Chitral	https://maps.app.goo.gl/onvcHsAUfmQnzuE47	Moderate	All-day
Hindukush Heights	Hotel	Chitral	https://maps.app.goo.gl/nWKcUQkbaxv7P9Qf9	High	All-day
Ayun Fort Inn	Hotel	Chitral	https://maps.app.goo.gl/FiSnLps8RYXvLQfe6	Moderate	All-day
Terichmir View Hotel	Hotel	Chitral	https://maps.app.goo.gl/Hip9Pw9pk8A7dB268	Moderate	All-day
Pamir Riverside Inn Chitral	Hotel	Chitral	https://maps.app.goo.gl/9YibzTii14KizZ9Q8	Moderate	All-day
Baba Hotel & Restaurant Chitral	Hotel	Chitral	https://maps.app.goo.gl/bh5T9DTR2iNVh6cY6	Low	All-day
Mountain Inn	Hotel	Chitral	https://maps.app.goo.gl/VdH8KwcpYy78V4Ap8	Moderate	All-day
Hindukush Sarai Chitral	Hotel	Chitral	https://maps.app.goo.gl/d8gAbUvDdipEHJ5C8	Moderate	All-day
Town Inn Guest House & Hotel Chitral	Hotel	Chitral	https://maps.app.goo.gl/yBoaaWtfoPxL2K7S8	Low	All-day
Chitral Guest House	Hotel	Chitral	https://maps.app.goo.gl/QERiNCWZ4VP5oFjVA	Low	All-day
WindyCrest Inn	Hotel	Chitral	https://maps.app.goo.gl/iyN2SmQRpAYacVm46	Moderate	All-day
Benazir Hotel	Hotel	Chitral	https://maps.app.goo.gl/1EUSt8qPTW5ghsK97	Low	All-day
Kalash Continental Hotel & Resorts	Hotel	Chitral	https://maps.app.goo.gl/ybVfKbwPo9w2mfqK7	Moderate	All-day
Gahirat Castle	Hotel	Chitral	https://maps.app.goo.gl/p8rv21d1m8rmq4N17	High	All-day
Hilal Garden	Hotel	Chitral	https://maps.app.goo.gl/RvrHGbnK7N8ZFQBm6	Low	All-day
